#separator:Tab
#html:false
#deck:English Unit 1
#notetype:Einfach (beide Richtungen)
personality	Persönlichkeit
to chill out	chillen
blond	blond
What's going on?	Was ist los?; Was geht ab?
shake	Shake; Milchshake
dance	Tanz; Tanzveranstaltung
to lend (to)	leihen; verleihen
to go behind sb's back	jmdn. hintergehen
to worry sb	jmdn. beunruhigen
bay	Bucht
to come along	mitkommen
to suggest	vorschlagen
to pay attention to	beachten
to ignore	ignorieren; außer Acht lassen
pretty	hübsch
mommy (AE)	Mama; Mami; Mutti
to drop	fallen (lassen)
to afford	sich leisten
anger	Zorn; Wut
loyal	loyal; treu
to lie	lügen
to fit in	hineinpassen; sich einfügen
trust	Vertrauen
still	Standbild
plate	Teller
mug	Becher
cup	Tasse
spoon	Löffel
knife	Messer
fork	Gabel
bread roll	Brötchen
marmalade	Marmelade aus Zitrusfrüchten
honey	Honig
muesli	Müsli
sausage	Wurst; Bratwurst
sugar	Zucker
experience	Erfahrung; Erlebnis
host family	Gastfamilie
exchange student	Austauschschüler/-in
type	Typ; Art; Sorte
to upset	aus der Fassung bringen; aufregen
impolite	unhöflich
this (+ adj)	so
that (+ adj)	so
to be used to (+ -ing)	gewöhnt sein an; gewohnt sein
usage	Gebrauch; Nutzung
what for	wozu
a day	pro Tag
content	Inhalt
communication	Kommunikation
